"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","TIME","TIME","Value","Flag Codes","Flags"
"ISL","Iceland","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",0.4,"E","Estimated value"
"IRL","Ireland","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",0.2,"E","Estimated value"
"ITA","Italy","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",0.4,"E","Estimated value"
"JPN","Japan","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",6.4,"E","Estimated value"
"KOR","Korea","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",4.2,"E","Estimated value"
"LUX","Luxembourg","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",0.1,"E","Estimated value"
"MEX","Mexico","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",4.2,"E","Estimated value"
"NLD","Netherlands","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",0,"E","Estimated value"
"NZL","New Zealand","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",0.2,"E","Estimated value"
"NOR","Norway","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",0.3,"E","Estimated value"
"POL","Poland","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",4,"E","Estimated value"
"PRT","Portugal","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",1.2,"E","Estimated value"
"SVK","Slovak Republic","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",1.4,"E","Estimated value"
"ESP","Spain","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",0,"E","Estimated value"
"SWE","Sweden","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",0,"E","Estimated value"
"CHE","Switzerland","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",0.1,"E","Estimated value"
"TUR","Turkey","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",12.7,"E","Estimated value"
"GBR","United Kingdom","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",0.1,"E","Estimated value"
"USA","United States","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",0,"E","Estimated value"
"BRA","Brazil","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",6.7,"E","Estimated value"
"CHL","Chile","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",9.4,"E","Estimated value"
"EST","Estonia","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",9.6,"E","Estimated value"
"ISR","Israel","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",3.8,"E","Estimated value"
"RUS","Russia","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",2.8,"E","Estimated value"
"SVN","Slovenia","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","2013","2013",0.5,"E","Estimated value"
"AUS","Australia","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",19,,
"AUT","Austria","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",21,,
"BEL","Belgium","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",20,,
"CAN","Canada","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",22,,
"CZE","Czech Republic","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",25,,
"DNK","Denmark","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",24,,
"FIN","Finland","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",22,,
"FRA","France","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",21,,
"DEU","Germany","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",21,,
"GRC","Greece","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",27,,
"HUN","Hungary","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",20,,
"ISL","Iceland","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",21,"E","Estimated value"
"IRL","Ireland","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",18,,
"ITA","Italy","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",22,,
"JPN","Japan","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",22,,
"KOR","Korea","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",16,,
"LUX","Luxembourg","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",23,,
"MEX","Mexico","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",18,,
"NLD","Netherlands","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",20,,
"NZL","New Zealand","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",26,,
"NOR","Norway","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",18,,
"POL","Poland","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",24,,
"PRT","Portugal","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",17,,
"SVK","Slovak Republic","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",25,,
"ESP","Spain","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",20,,
"SWE","Sweden","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",21,,
"CHE","Switzerland","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",23,,
"TUR","Turkey","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",21,"E","Estimated value"
"GBR","United Kingdom","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",22,,
"USA","United States","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",19,,
"OTO","OECD - Total","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",21,"E","Estimated value"
"BRA","Brazil","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",21,"E","Estimated value"
"CHL","Chile","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",18,,
"EST","Estonia","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",19,,
"ISR","Israel","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",21,"E","Estimated value"
"RUS","Russia","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",11,,
"SVN","Slovenia","HO_HISH","Housing expenditure","L","Value","TOT","Total","2013","2013",20,,
"AUS","Australia","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",19,"E","Estimated value"
"AUT","Austria","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",21,"E","Estimated value"
"BEL","Belgium","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",20,"E","Estimated value"
"CAN","Canada","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",22,"E","Estimated value"
"CZE","Czech Republic","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",25,"E","Estimated value"
"DNK","Denmark","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",24,"E","Estimated value"
"FIN","Finland","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",22,"E","Estimated value"
"FRA","France","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",21,"E","Estimated value"
"DEU","Germany","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",21,"E","Estimated value"
"GRC","Greece","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",27,"E","Estimated value"
"HUN","Hungary","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",20,"E","Estimated value"
"ISL","Iceland","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",21,"E","Estimated value"
"IRL","Ireland","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",18,"E","Estimated value"
"ITA","Italy","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",22,"E","Estimated value"
"JPN","Japan","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",22,"E","Estimated value"
"KOR","Korea","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",16,"E","Estimated value"
"LUX","Luxembourg","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",23,"E","Estimated value"
"MEX","Mexico","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",18,"E","Estimated value"
"NLD","Netherlands","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",20,"E","Estimated value"
"NZL","New Zealand","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",26,"E","Estimated value"
"NOR","Norway","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",18,"E","Estimated value"
"POL","Poland","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",24,"E","Estimated value"
"PRT","Portugal","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",17,"E","Estimated value"
"SVK","Slovak Republic","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",25,"E","Estimated value"
"ESP","Spain","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",20,"E","Estimated value"
"SWE","Sweden","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",21,"E","Estimated value"
"CHE","Switzerland","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",23,"E","Estimated value"
"TUR","Turkey","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",21,"E","Estimated value"
"GBR","United Kingdom","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",22,"E","Estimated value"
"USA","United States","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",19,"E","Estimated value"
"BRA","Brazil","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",21,"E","Estimated value"
"CHL","Chile","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",18,"E","Estimated value"
"EST","Estonia","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",19,"E","Estimated value"
"ISR","Israel","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",21,"E","Estimated value"
"RUS","Russia","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",11,"E","Estimated value"
"SVN","Slovenia","HO_HISH","Housing expenditure","L","Value","MN","Men","2013","2013",20,"E","Estimated value"
"AUS","Australia","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",19,"E","Estimated value"
"AUT","Austria","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",21,"E","Estimated value"
"BEL","Belgium","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",20,"E","Estimated value"
"CAN","Canada","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",22,"E","Estimated value"
"CZE","Czech Republic","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",25,"E","Estimated value"
"DNK","Denmark","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",24,"E","Estimated value"
"FIN","Finland","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",22,"E","Estimated value"
"FRA","France","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",21,"E","Estimated value"
"DEU","Germany","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",21,"E","Estimated value"
"GRC","Greece","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",27,"E","Estimated value"
"HUN","Hungary","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",20,"E","Estimated value"
"ISL","Iceland","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",21,"E","Estimated value"
"IRL","Ireland","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",18,"E","Estimated value"
"ITA","Italy","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",22,"E","Estimated value"
"JPN","Japan","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",22,"E","Estimated value"
"KOR","Korea","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",16,"E","Estimated value"
"LUX","Luxembourg","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",23,"E","Estimated value"
"MEX","Mexico","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",18,"E","Estimated value"
"NLD","Netherlands","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",20,"E","Estimated value"
"NZL","New Zealand","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",26,"E","Estimated value"
"NOR","Norway","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",18,"E","Estimated value"
"POL","Poland","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",24,"E","Estimated value"
"PRT","Portugal","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",17,"E","Estimated value"
"SVK","Slovak Republic","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",25,"E","Estimated value"
"ESP","Spain","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",20,"E","Estimated value"
"SWE","Sweden","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",21,"E","Estimated value"
"CHE","Switzerland","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",23,"E","Estimated value"
"TUR","Turkey","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",21,"E","Estimated value"
"GBR","United Kingdom","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",22,"E","Estimated value"
"USA","United States","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",19,"E","Estimated value"
"BRA","Brazil","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",21,"E","Estimated value"
"CHL","Chile","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",18,"E","Estimated value"
"EST","Estonia","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",19,"E","Estimated value"
"ISR","Israel","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",21,"E","Estimated value"
"RUS","Russia","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",11,"E","Estimated value"
"SVN","Slovenia","HO_HISH","Housing expenditure","L","Value","WMN","Women","2013","2013",20,"E","Estimated value"
"AUS","Australia","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",2.3,"E","Estimated value"
"AUT","Austria","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.7,,
"BEL","Belgium","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",2.2,,
"CAN","Canada","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",2.6,,
"CZE","Czech Republic","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.4,,
"DNK","Denmark","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.9,,
"FIN","Finland","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.9,,
"FRA","France","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.8,,
"DEU","Germany","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.8,,
"GRC","Greece","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.2,,
"HUN","Hungary","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1,,
"ISL","Iceland","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.6,,
"IRL","Ireland","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",2.1,,
"ITA","Italy","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.4,,
"JPN","Japan","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.8,,
"KOR","Korea","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.4,,
"LUX","Luxembourg","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.9,,
"MEX","Mexico","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1,,
"NLD","Netherlands","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",2,,
"NZL","New Zealand","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",2.3,"E","Estimated value"
"NOR","Norway","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",2,,
"POL","Poland","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1,,
"PRT","Portugal","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.6,,
"SVK","Slovak Republic","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.2,,
"ESP","Spain","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.8,,
"SWE","Sweden","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.7,,
"CHE","Switzerland","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.8,,
"TUR","Turkey","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",0.9,,
"GBR","United Kingdom","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.8,,
"USA","United States","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",2.3,"E","Estimated value"
"OTO","OECD - Total","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.6,"E","Estimated value"
"BRA","Brazil","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.4,"E","Estimated value"
"CHL","Chile","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.3,,
"EST","Estonia","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.6,,
"ISR","Israel","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.1,,
"RUS","Russia","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",0.9,,
"SVN","Slovenia","HO_NUMR","Rooms per person","L","Value","TOT","Total","2013","2013",1.4,,
"AUS","Australia","HO_NUMR","Rooms per person","L","Value","MN","Men","2013","2013",2.3,"E","Estimated value"
